Comment,Designator,Footprint,LCSC Part #
1uF,C9 C10,C0402,C967571
2.2uF,C13 C14,C0603,C77047
10k,R5 R7 R11 R12 R13 R14,R0402,C2906885
10uF,C24,C1210,C92834
100nF,C6 C7 C8 C27,C0402,C131394
100uF,C25 C26,CAPPM7344X310N,C7224
200,R4 R6 R10,R0402,C114764
53398-0671,SV1 SV2 SV3 SV4 SV5 SV6,533980671,C277393
AP2204K-5.0TRG1,PS1,SOT95P282X145-5N,C112031
LD1086DT33TR,IC3,LD1086DT33TR,C12051
MMZ1608Y601BTA00,FB1,BEADC1608X95N,C136491
SMA6T33AY,D2,DIOM5126X265N,C2938673
STPS5L60S,D1,DIOM8059X265N,C5120161
