"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NO";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MOUSER_TESTING_PART_NUMBER";"MOUSER_TESTING_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"PARTREV";"POPULARITY";"SPICEPREFIX";"STANDARD";"VENDOR";
"3";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED1, LED2, LED3";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"68";"";"";"";
"1";"";"MA03-1";"MA03-1";"SV8";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"48";"";"";"";
"1";"";"MA04-1";"MA04-1";"SV7";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"";"41";"";"";"";
"2";"";"SJ2W";"SJ_2";"SJ1, SJ2";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7";"";"";"";
"3";"";"SMD2";"SMD1,27-2,54";"3V3, GND, IBUS_RX";"SMD PAD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"15";"";"";"";
"14";"100nF";"GRM155R71C104KA88D0402";"C0402";"C1, C2, C3, C4, C5, C6, C7, C8, C15, C18, C19, C20, C21, C27";"";"";"";"";"";"";"";" C0402X7R104K160NTB";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"100uF";"TAJD107K020RNJ";"CAPPM7344X310N";"C25, C26";"AVX 100";"";"";"AVX 100";"3.1mm";"";"AVX";"RVT1H101M0810";"TAJD107K020RNJ";"";"581-TAJD107K020R";"https://www.mouser.co.uk/ProductDetail/AVX/TAJD107K020RNJ?qs=vCvzkGKhcJTayC4TVOJC1w%3D%3D";"";"";"";"";"";"";"";"";"";"";
"11";"10k";"R-EU_R0402";"R0402";"R1, R3, R5, R7, R9, R11, R12, R13, R14, R15, R16";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"R";"";"";
"2";"10uF";"C-EUC0603";"C0603";"C11, C12";"CAPACITOR, European symbol";"";"";"";"";"";"";"GRM188R61E106KA73D";"";"";"";"";"";"";"";"";"";"";"73";"C";"";"Murata";
"1";"10uF";"C-EUC1210";"C1210";"C24";"CAPACITOR, European symbol";"";"";"";"";"";"";"UMK325AB7106KMHP";"";"";"";"";"";"";"";"";"";"";"0";"C";"";"";
"4";"1uF";"C-EUC0402";"C0402";"C9, C10, C22, C23";"CAPACITOR, European symbol";"";"";"";"";"";"";"EMK105BJ105KV-F";"";"";"";"";"";"";"";"";"";"";"18";"C";"";"Taiyo Yuden";
"2";"2.2uF";"C-EUC0603";"C0603";"C13, C16";"CAPACITOR, European symbol";"";"";"";"";"";"";"EMK107BJ225KA-T";"";"";"";"";"";"";"";"";"";"";"73";"C";"";"Taiyo Yuden";
"2";"2.2uF";"C-EUC0603";"C0603";"C14, C17";"CAPACITOR, European symbol";"";"";"";"";"";"";"GRM188R61E106KA73D";"";"";"";"";"";"";"";"";"";"";"73";"C";"";"Murata";
"4";"200";"R-EU_R0402";"R0402";"R4, R6, R8, R10";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"R";"";"";
"1";"51";"R-EU_R0402";"R0402";"R2";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"R";"";"";
"6";"53398-0671";"53398-0671";"533980671";"SV1, SV2, SV3, SV4, SV5, SV6";"Headers & Wire Housings VERTICAL HDR SMT 6P";"";"";"Headers & Wire Housings VERTICAL HDR SMT 6P";"4.9mm";"";"Molex";"";"53398-0671";"";"538-53398-0671";"https://www.mouser.co.uk/ProductDetail/Molex/53398-0671?qs=JoXVr8r77yUvqiGcudjIoQ%3D%3D";"";"";"";"";"";"";"";"";"";"";
