Comment,Designator,Footprint,LCSC Part #
1uF,3V3 GND IBUS_RX SJ2 C9 C10,C0402,
2.2uF,C13 C14,C0603,
10k,R5 R7 R11 R12 R13 R14,R0402,
10uF,C24,C1210,
100nF,C6 C7 C8 C27,C0402,
100uF,C25 C26,CAPPM7344X310N,
200,R4 R6 R10,R0402,
53398-0671,SV1 SV2 SV3 SV4 SV5 SV6,533980671,
AP2204K-5.0TRG1,PS1,SOT95P282X145-5N,
FTSH-107-01-L-DV-K-TR,J1,SAMTEC_FTSH-107-01-L-DV-K-TR,
L9960T,U$3,POWERSSO-36_STM,
LD1086DT33TR,IC3,LD1086DT33TR,
MMZ1608Y601BTA00,FB1,BEADC1608X95N,
SMA6T33AY,D2,DIOM5126X265N,
STPS5L60S,D1,DIOM8059X265N,
